Gene	logp
QX1410.9180	27.760279365731893
QX1410.9180	27.760279365731893
QX1410.9180	27.760279365731893
QX1410.9180	27.760279365731893
QX1410.9183	24.016533905138783
QX1410.9183	24.016533905138783
QX1410.9183	24.016533905138783
QX1410.9183	24.016533905138783
NA	24.016533905138783
NA	24.016533905138783
QX1410.9184	24.016533905138783
QX1410.9184	24.016533905138783
NA	22.542659641391147
NA	22.542659641391147
ORF	22.542659641391147
ORF	22.542659641391147
NA	20.12789136572937
NA	20.12789136572937
NA	18.748436479882823
NA	18.748436479882823
ORF	18.565121715933255
ORF	18.565121715933255
NA	17.626065112
NA	17.626065112
QX1410.9184	17.371973240412895
QX1410.9184	17.371973240412895
QX1410.9184	17.25627135149421
QX1410.9184	17.25627135149421
