MRT-1	I	37.088	364	183	9	61	387	15331788	15330724	1.54e-64	197
MRT-1	I	48.276	58	30	0	1	58	15332021	15331848	1.54e-64	70.1
MRT-1	I	40.976	205	73	3	230	387	2982109	2982720	1.97e-38	154
MRT-1	I	40.462	173	101	2	61	232	2981096	2981611	4.41e-37	109
MRT-1	I	50.000	58	29	0	1	58	2980864	2981037	4.41e-37	66.6
MRT-1	I	38.583	127	57	4	488	594	15329530	15329153	1.22e-11	69.7
MRT-1	I	31.081	148	75	4	316	458	2983371	2983748	5.54e-09	61.2
MRT-1	I	55.769	52	23	0	488	539	2983951	2984106	5.68e-09	61.2
MRT-1	I	42.857	70	40	0	386	455	15329930	15329721	6.19e-09	60.8
MRT-1	I	38.462	65	38	1	1	63	224322	224516	4.61e-06	51.6
MRT-1	I	51.429	35	17	0	560	594	2984277	2984381	0.072	38.1
