Cbr-MRT-1.1	chrI_pilon	54.206	107	48	1	275	380	8818036	8818356	7.40e-74	127
Cbr-MRT-1.1	chrI_pilon	40.541	74	43	1	464	536	8818698	8818919	7.40e-74	63.5
Cbr-MRT-1.1	chrI_pilon	37.209	86	51	1	381	463	8818412	8818669	7.40e-74	60.1
Cbr-MRT-1.1	chrI_pilon	33.333	129	78	3	105	229	8817416	8817790	7.40e-74	57.0
Cbr-MRT-1.1	chrI_pilon	54.348	46	21	0	228	273	8817834	8817971	7.40e-74	53.5
Cbr-MRT-1.1	chrI_pilon	50.000	58	29	0	1	58	8817007	8817180	1.77e-23	68.6
Cbr-MRT-1.1	chrI_pilon	49.206	63	32	0	61	123	8817234	8817422	1.77e-23	61.6
Cbr-MRT-1.1	chrI_pilon	51.111	45	22	0	576	620	8819080	8819214	5.51e-05	48.1
Cbr-MRT-1.1	chrI_pilon	22.581	93	57	4	78	163	12443334	12443080	9.3	24.3
Cbr-MRT-1.1	chrI_pilon	33.333	21	14	0	25	45	12443492	12443430	9.3	22.7
Cbr-MRT-1.1	chrII_pilon	41.270	189	96	1	8	181	14751580	14752146	6.62e-36	146
Cbr-MRT-1.1	chrII_pilon	46.429	56	30	0	565	620	14752231	14752398	1.55e-06	53.1
Cbr-MRT-1.1	chrIII_pilon	54.369	103	47	0	6	108	14105591	14105283	1.26e-33	120
Cbr-MRT-1.1	chrIII_pilon	54.369	103	47	0	6	108	14096030	14095722	1.26e-33	120
Cbr-MRT-1.1	chrIII_pilon	54.369	103	47	0	6	108	14089852	14090160	1.26e-33	120
Cbr-MRT-1.1	chrIII_pilon	54.369	103	47	0	6	108	14099413	14099721	1.26e-33	120
Cbr-MRT-1.1	chrIII_pilon	35.211	71	46	0	114	184	14105220	14105008	1.26e-33	43.9
Cbr-MRT-1.1	chrIII_pilon	35.211	71	46	0	114	184	14095659	14095447	1.26e-33	43.9
Cbr-MRT-1.1	chrIII_pilon	35.211	71	46	0	114	184	14090223	14090435	1.26e-33	43.9
Cbr-MRT-1.1	chrIII_pilon	35.211	71	46	0	114	184	14099784	14099996	1.26e-33	43.9
Cbr-MRT-1.1	chrX_pilon	34.375	64	24	3	254	300	2980788	2980976	9.9	30.8
